track_name,track_uri,rank,track_name1,first_artist,second_artist,year,track_name2,track_uri1,track_match,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri2,duration_ms,time_signature,key_mode
Wooly Bully,2XkuSbp5say8nZW8g6156Z,1,Wooly Bully,"Sam the Sham and the Pharaohs
",NA,1965,NA,NA,TRUE,0.582,0.575,G,-11.89,major,0.0529,0.713,3.66e-6,0.151,0.558,140.601,2XkuSbp5say8nZW8g6156Z,140867,4,G major
I Cant Help Myself Sugar Pie Honey Bunch,0GiWjFOVWv3mVaNCxkgqlq,2,I Cant Help Myself Sugar Pie Honey Bunch,"Four Tops
",NA,1965,NA,NA,TRUE,0.701,0.8,C,-2.936,major,0.0286,0.119,0,0.0831,0.967,127.752,0GiWjFOVWv3mVaNCxkgqlq,165867,4,C major
I Cant Get No Satisfaction  Mono Version  Remastered 2002,2PzU4IB8Dr6mxV3lHuaG34,3,I Cant Get No Satisfaction,"The Rolling Stones
",NA,1965,NA,NA,TRUE,0.725,0.853,D,-7.842,major,0.0353,0.0348,0.127,0.196,0.904,136.282,2PzU4IB8Dr6mxV3lHuaG34,222813,4,D major
You Were On My Mind,36ckFm0oicmvX8bWEErIHd,4,You Were on My Mind,"We Five
",NA,1965,NA,NA,TRUE,0.51,0.565,C#,-8.105,minor,0.05,0.485,0,0.0476,0.7,143.381,36ckFm0oicmvX8bWEErIHd,155960,4,C# minor
Youve Lost That Lovin Feelin,5GMw6X6BbCDGO9gApQYRSa,5,Youve Lost That Lovin Feelin,"The Righteous Brothers
",NA,1965,NA,NA,TRUE,0.39,0.309,C#,-14.12,major,0.0265,0.504,0,0.0863,0.459,94.444,5GMw6X6BbCDGO9gApQYRSa,225227,4,C# major
Downtown,0hgWgToJgb7O1tT12YWRCz,6,Downtown,"Petula Clark
",NA,1965,NA,NA,TRUE,0.495,0.629,E,-6.817,major,0.0431,0.695,0,0.164,0.545,118.515,0hgWgToJgb7O1tT12YWRCz,183120,4,E major
Cant You Hear My Heartbeat,2tUP1fuo8EdOVz3Bw9r7yu,8,Cant You Hear My Heartbeat,"Herman's Hermits
",NA,1965,NA,NA,TRUE,0.581,0.63,A,-7.836,major,0.0334,0.0925,0,0.0648,0.91,136.994,2tUP1fuo8EdOVz3Bw9r7yu,134840,3,A major
Crying In the Chapel,1Vzr9AOdHw65UHoK1Vuxls,9,Crying in the Chapel,"Elvis Presley
",NA,1965,NA,NA,TRUE,0.404,0.246,B,-13.812,major,0.041,0.94,3e-5,0.297,0.281,71.274,1Vzr9AOdHw65UHoK1Vuxls,143267,4,B major
My Girl,6jWkZvd1URGktyTTwcpPpB,10,My Girl,"The Temptations
",NA,1965,NA,NA,TRUE,0.579,0.419,C,-10.72,major,0.0346,0.625,0,0.0981,0.673,104.564,6jWkZvd1URGktyTTwcpPpB,165e3,4,C major
Help Me Rhonda,3haZcHm3HydDVxm3je3Zmg,11,Help Me Rhonda,"The Beach Boys
",NA,1965,NA,NA,TRUE,0.544,0.748,C#,-6.243,major,0.0298,0.311,7.16e-4,0.0633,0.825,139.739,3haZcHm3HydDVxm3je3Zmg,168240,4,C# major
